Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
Sunes Summer,"Comedy, Family, Fantasy","Children & Family Movies,Comedies,Movies Based on Books,Family Features,Family Comedies,Swedish Movies",Swedish,Movie,7.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Jon Holmberg,"Jon Holmberg, Daniella Mendel-Enk, Sara Young, Anders Jacobsson, Sören Olsson","Elis Gerdt, Tea Stjärne, Fredrik Hallgren, Baxter Renman",,5.5,,,,7.0,,30 Nov 2018,2021-03-03,,https://www.netflix.com/watch/81382200,https://www.imdb.com/title/tt7474512,A family camping trip goes awry for a boy and his accident-prone relatives in this comedy based on the book series by Anders Jacobsson and Sören Olsson.,560,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaD7okaKJ-qDqOtq3DB1OQCDbHrO-30BU4tb6c8Afret4MB9BKjn7fIqm1pRBDG2-BEV0XUMyNLk30G_dCErvt_G_g.jpg?r=d20,https://m.media-amazon.com/images/M/MV5BNDAyNWJlODktZGQzMC00NGQ3LWI3YTItYmEzOGE1N2IyMWE1XkEyXkFqcGdeQXVyMjQ3MzI5Mjc@._V1_SX300.jpg,,
The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller","Thriller Movies,Movies Based on Books,Supernatural Thrillers,Swedish Movies",English,Movie,2.0,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,David S. Goyer,"Christine Roum, Mats Wahl, Mick Davis","Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",PG-13,6.2,20.0,36.0,,1.0,"$20,578,909",27 Apr 2007,2021-03-03,"Touchstone Pictures, Spyglass Entertainment",https://www.netflix.com/watch/81382078,https://www.imdb.com/title/tt0435670,"Critically injured after a brutal beating, a teenager and aspiring poet finds himself suspended between life and death and invisible to others.",34738,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT4CgikQDwLNg_HIlP0G50p7X0H52kcxOjHouEzeNBOfFPw09TWvHjEsYik1kGHzPrRlmEysonrVtPCBpLruAWAypw.jpg?r=3be,https://m.media-amazon.com/images/M/MV5BNjQ3MjAwNTc1NV5BMl5BanBnXkFtZTcwMzQ3MjczMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=yDB3Ha3vxyc,YouTube
The Simple Minded Murderer,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Movies,Swedish Movies","Scanian, Swedish",Movie,7.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Hans Alfredson,Hans Alfredson,"Stellan Skarsgård, Hans Alfredson, Per Myrberg, Maria Johansson",,7.6,92.0,,7.0,2.0,,01 Sep 1985,2021-03-03,"Svensk Filmindustri, Svenska Filminstitutet",https://www.netflix.com/watch/81382075,https://www.imdb.com/title/tt0083888,"A good-natured farmhand, perpetually terrorized by his cruel boss for his disability, finds love and acceptance when a poor family takes him in.",2870,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABSCbJSjrtL9_AKGjIFM4AsWtMnMCsEVPEx3tX4VugQFx6mTzI5UiuadI6r5pPgrLpk1Re74mXg6BBBn_ezxWIHT1sJ_CBnhLnahp8_wOWjf9rc4.jpg?r=17a,https://m.media-amazon.com/images/M/MV5BYTE3ZjFkNDAtZWY0ZC00ODI3LWExYjUtZmFjZTkyMmYyMzFiXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,,
The Stig-Helmer Story,"Comedy, Drama","Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Swedish Movies","Swedish, English",Movie,6.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Lasse Åberg,Lasse Åberg,"Jon Skolmen, Ida Högberg, Lasse Åberg, Tobias Jacobsson",,4.5,,,,1.0,,25 Dec 2011,2021-03-03,,https://www.netflix.com/watch/81382180,https://www.imdb.com/title/tt1808587,Popular character Stig-Helmer Olsson recounts his life as he reminisces on his youth and trying to track down his first love.,1666,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdlJ8tTuOGQ05xwDAAZoZ5DwizI5MZ1bgcursItZXlDa7fM8LO0viXHKoPxU20glFQL7dHaBu-uv8nPBV3_QQEsBPQ.jpg?r=dec,https://m.media-amazon.com/images/M/MV5BNDU5Y2JhNTAtMzkwOC00MDU1LWJjYjAtNjAyODc4OGQ3ZmYwXkEyXkFqcGdeQXVyMjQ3NTQ4MjQ@._V1_SX300.jpg,,
To Kill a Child,"Short, Drama","Dramas,Swedish Movies",Spanish,Movie,8.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",< 30 minutes,"José Esteban Alenda, César Esteban Alenda","José Esteban Alenda, Victoria Ruiz, César Esteban Alenda","Manolo Solo, Roger Príncep, Cristina Marcos, Roger Álvarez",,7.7,,,2.0,5.0,,07 Feb 2011,2021-03-03,,https://www.netflix.com/watch/81382065,https://www.imdb.com/title/tt1930402,A car accident involving a young child takes a devastating toll in this 9-minute film based on the 1948 short story by writer Stig Dagerman.,78,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVw0K_2t1GJtJ0ySMSoglb6DXX9izzwMyKxEYqfkY_k8-rFSoXLnaIxq2YLWs_sUtbRAiCjeXTUuOdOOdaD-zmV7Jw.jpg?r=4b1,https://m.media-amazon.com/images/M/MV5BNWRmZDRkMzQtOGIzMS00YjMwLWEyMDEtZmE0NzY2Y2FlNmQ1XkEyXkFqcGdeQXVyMjM3NjE2MTg@._V1_SX300.jpg,,
Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,Movie,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,Todd Phillips,"Scott Silver, Jerry Robinson, Todd Phillips, Bob Kane, Bill Finger","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",R,8.4,68.0,59.0,112.0,228.0,"$335,451,311",04 Oct 2019,2021-03-03,"Bron Studios, Creative Wealth Media Finance, DC Comics",https://www.netflix.com/watch/81382215,https://www.imdb.com/title/tt7286456,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",951938,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeslXp6h2-qkqlqXUU569-RwKdu37HSTPQTjzxVn1KnoCC5BHf1MPTD_fsTI5XkMR2gns_TRHNpt74or_hV6OfPtHg.jpg?r=ce4,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=t433PEQGErc,YouTube
I,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Swedish Movies","English, Sanskrit",Movie,2.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",PG,6.5,52.0,51.0,26.0,69.0,"$474,544,677",19 May 1999,2021-03-03,Lucasfilm Ltd.,https://www.netflix.com/watch/81382114,https://www.imdb.com/title/tt0120915,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,733336,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSRslzvcxZlMteszOYTpkvInxwXS5crWhEcHEvBD5Toybfj6KivkEIOJaAXvqDh3VCwvigHiF8dzdH3Y0Scgt3q5TA.jpg?r=619,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=bD7bpG-zDJQ,YouTube
Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",English,Movie,4.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,David Yates,"Steve Kloves, J.K. Rowling","Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",PG-13,8.1,96.0,85.0,46.0,94.0,"$381,409,310",15 Jul 2011,2021-03-03,"Heyday Films, Moving Picture Company, Warner Bros.",https://www.netflix.com/watch/81382102,https://www.imdb.com/title/tt1201607,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",766594,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGQymPz2RK3LajCem7mtwGhaN1dwRFEt2WgL6lUac9dEyOap0uL3k8zw4nlMhJfXJZ9usVahLUcE1BS5sHvzYt8-g.jpg?r=144,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=5NYt1qirBWg,YouTube
Gyllene Tider,Music,"Music & Musicals,Swedish Movies,Music & Concert Documentaries,Documentary Films,Concerts",Swedish,Movie,8.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",30-60 mins,Lasse Hallström,,"Micke Andersson, Anders Herrlin, Göran Fritzson, Per Gessle",,7.7,,,,,,,2021-03-03,,https://www.netflix.com/watch/81382106,https://www.imdb.com/title/tt0477437,This music documentary offers backstage interviews and concert footage of the Swedish pop group at the peak of their popularity in the early 80s.,19,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR0xiok4opMDOL2S7WN-hmVQI0_1l6nEW8_KtWRvXdff80yCZI9FV-Bc7vXhlICcrpxV_DobT83ANO7eNhnnXbW3Bw.jpg?r=599,https://m.media-amazon.com/images/M/MV5BZjNlNDg2NjAtNWE4Yi00MWE3LTk1MTEtN2Q1N2E4MDhjOTFhXkEyXkFqcGdeQXVyMDA1MjcxOA@@._V1_SX300.jpg,,
False As Water,"Drama, Thriller","Psychological Thrillers,Dramas,Thriller Movies,Swedish Movies",Swedish,Movie,7.9,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Hans Alfredson,Hans Alfredson,"Marie Göranzon, Stellan Skarsgård, Sverre Anker Ousdal, Malin Ek",,6.3,,,3.0,,,08 Nov 1985,2021-03-03,,https://www.netflix.com/watch/81382091,https://www.imdb.com/title/tt0089124,The illicit romance between a married publisher and a poet turns fraught when strange happenings in her apartment push her mental health to the brink.,546,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUrvNdCFAiVqptsOvCQTtIdBFy6IpLZ5fjup2bpVsD5cp61akDTkCS-IhhUWEQuCtqlawIWwpJlAhu7jnqbsZgqcFQ.jpg?r=144,https://m.media-amazon.com/images/M/MV5BYTA2MWY3NmYtZWRmMS00ZGNkLWI3MmUtYjJmNTk4NGI4YThlXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,,
Bang!,Short,"Dramas,Movies Based on Books,Swedish Movies",,Movie,7.7,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Robert Breer,,,,5.6,,,,,,,2021-03-03,,https://www.netflix.com/watch/81382066,https://www.imdb.com/title/tt0482899,A lonely teacher muddles through a midlife crisis as he navigates romantic relationships and tries his hand at composing experimental music.,197,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfK9FZtfxzbvAWcHFcw7qo_uOXwulvc5HfVzEY29RMfpnQ7IAQ4FPbvkFhbwjFcga4_bU_v1-MC5iOtqLM788MU-Gw.jpg?r=a77,https://m.media-amazon.com/images/M/MV5BYjVkNWFlOWQtODc4Yi00NjU1LTlhODItMjk0ZDZhMWQ1ZjVlXkEyXkFqcGdeQXVyMDM1MzIyMQ@@._V1_SX300.jpg,,
A Guest Is Coming,Thriller,"Crime Movies,Thriller Movies,Mysteries,Crime Thrillers,Classic Movies,Swedish Movies",Swedish,Movie,7.7,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Arne Mattsson,Stieg Trenter,"Karl-Arne Holmsten, Sture Lagerwall, Naima Wifstrand, Erik 'Bullen' Berglund",,5.4,,,,,,03 Nov 1947,2021-03-03,,https://www.netflix.com/watch/81382081,https://www.imdb.com/title/tt0039314,A sleuthing writer investigates the strange murder of an old man who decided to sell his manor against his family’s wishes.,46,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWoHHUpbWIY8VKwUooY4yhBfqLPptgW1AcP58JLI2DaZxJ0-6wkgn_UyZqfAkceFY5UN2OPb9Fi-VGbt5QbvcNGObQ.jpg?r=436,https://m.media-amazon.com/images/M/MV5BNmE5N2E2NmItMTY2MC00NWM2LTk2ZjgtMzIxZDZjODJmM2E1XkEyXkFqcGdeQXVyMTMwOTMzNzU@._V1_SX300.jpg,,
1939,Drama,"Swedish Movies,Dramas",Swedish,Movie,7.6,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",> 2 hrs,Göran Carmback,"Catti Edfeldt, Kjell Sundstedt, Brasse Brännström","Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergström",,5.5,,,,,,25 Dec 1989,2021-03-03,AB Svensk Filmindustri,https://www.netflix.com/watch/81382060,https://www.imdb.com/title/tt0096737,"A young woman in neutral Sweden during World War II moves to Stockholm, where she marries a man who turns out to be different than what she imagined.",364,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABShlYcXKbpFrDZwepvKXxETBfNe6QfUKRhBY19-0IOKcF3fzaehQkFvTItnFitKekO7Bu0aD_boi8YntOv-h5jHnvQ.jpg?r=b8e,https://m.media-amazon.com/images/M/MV5BZjI3OWZiZGItOGVhZC00MTVmLTlkMjAtMWVlZjhiOGRjMTRhXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,,
